Artist,Title,Release Date,Popularity,Category
Liam Payne,For You (With Rita Ora),2019-12-06 00:00:00,69,Gold
Owl City,"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",2012-01-01 00:00:00,69,Gold
TOTO,Georgy Porgy,1978-10-10 00:00:00,69,Gold
The 502s,Just A Little While,2021-10-15 00:00:00,69,Gold
Alesso,Leave A Little Love (Mixed),2021-08-06 00:00:00,68,Gold
Eminem,Big Weenie,2004-11-12 00:00:00,68,Gold
Flatland Cavalry,Mountain Song,2022-08-26 00:00:00,68,Gold
Kelsea Ballerini,half of my hometown (feat. Kenny Chesney),2020-03-20 00:00:00,68,Gold
Miami Sound Machine,Conga!,1985-08-13 00:00:00,68,Gold
Felix Jaehn,Rain In Ibiza,2022-02-25 00:00:00,68,Gold
Tate McRae,stupid,2020-01-24 00:00:00,68,Gold
Katy Perry,E.T.,2010-01-01 00:00:00,67,Gold
Joshwa,My Humps,2021-10-29 00:00:00,67,Gold
Jayda G,Both Of Us - Edit,2020-05-26 00:00:00,67,Gold
Chris Lane,"Big, Big Plans",2019-06-28 00:00:00,67,Gold
Rita Ora,Your Song,2018-11-23 00:00:00,67,Gold
Neptunica,Marble,2021-08-27 00:00:00,67,Gold
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,1999-01-01 00:00:00,67,Gold
Purple Disco Machine,In The Dark,2022-03-04 00:00:00,67,Gold
Ofenbach,Body Talk,2022-09-02 00:00:00,66,Gold
Ludacris,Move Bitch,2001-01-01 00:00:00,66,Gold
Black Eyed Peas,DON'T YOU WORRY,2022-11-10 00:00:00,66,Gold
Bruno Mars,It Will Rain,2011-09-27 00:00:00,66,Gold
Colbie Caillat,Try,2014-06-09 00:00:00,66,Gold
YoungBoy Never Broke Again,"Won’t Back Down (feat. YoungBoy Never Broke Again, Dermot Kennedy & Bailey Zimmerman)",2023-05-04 00:00:00,65,Gold
Kelly Clarkson,Heartbeat Song,2015-02-27 00:00:00,65,Gold
The Teskey Brothers,Those Were The Days,2019-07-19 00:00:00,65,Gold
Tove Lo,2 Die 4,2022-10-14 00:00:00,65,Gold
Nicki Minaj,Pound The Alarm,2011-01-01 00:00:00,65,Gold
Blake Shelton,Happy Anywhere (feat. Gwen Stefani),2021-05-21 00:00:00,65,Gold
Robin Schulz,Headlights (feat. Ilsey),2015-09-25 00:00:00,65,Gold
Sam Feldt,Post Malone (feat. RANI),2019-08-16 00:00:00,65,Gold
Chord Overstreet,What's Left of You,2021-06-04 00:00:00,65,Gold
Lady Gaga,Telephone,2009-01-01 00:00:00,65,Gold
Britney Spears,Break the Ice,2007-10-25 00:00:00,64,Gold
James Hype,More Than Friends,2017-09-22 00:00:00,64,Gold
The Chainsmokers,Don't Let Me Down (feat. Daya) - Illenium Remix,2016-05-27 00:00:00,64,Gold
LMFAO,Party Rock Anthem,2010-12-01 00:00:00,64,Gold
Carly Rae Jepsen,Run Away With Me,2015-01-01 00:00:00,64,Gold
Sam Hunt,Water Under The Bridge,2022-06-23 00:00:00,64,Gold
Russell Dickerson,Every Little Thing,2017-06-16 00:00:00,64,Gold
Kungs,Clap Your Hands,2022-03-18 00:00:00,64,Gold
elijah woods,past life,2023-03-24 00:00:00,64,Gold
Dua Lipa,If It Ain’t Me,2021-02-11 00:00:00,64,Gold
Alex Guesta,My Addiction,2020-11-20 00:00:00,63,Gold
Bob Sinclar,"World, Hold On - FISHER Rework",2022-07-08 00:00:00,63,Gold
M People,Moving on Up,1998-10-29 00:00:00,63,Gold
Joel Corry,Sorry,2019-04-05 00:00:00,62,Gold
Jennifer Paige,Crush,1998-01-01 00:00:00,62,Gold
Corona,The Rhythm of the Night,1995-01-01 00:00:00,62,Gold
BANNERS,Half Light,2016-05-27 00:00:00,62,Gold
Shane Codd,Get Out My Head,2020-05-25 00:00:00,61,Gold
Jax Jones,This Is Real (ft. Ella Henderson),2019-09-06 00:00:00,61,Gold
Leony,Holding On,2023-03-24 00:00:00,61,Gold
Hailee Steinfeld,SunKissing,2023-03-24 00:00:00,60,Gold
Ammar,Turk Uit De Kroeg,2022-09-09 00:00:00,60,Gold
Ava Max,Weapons,2023-01-27 00:00:00,60,Gold
Nielson,Beauty & De Brains,2014-03-07 00:00:00,60,Gold
Rachel Grae,Right Person Right Time,2022-09-16 00:00:00,60,Gold
Mella Dee,Techno Disco Tool - Radio Edit,2017-12-01 00:00:00,59,Gold
Philip George,Alone No More,2015-08-21 00:00:00,59,Gold
Samantha Mumba,Gotta Tell You,2000-01-01 00:00:00,59,Gold
Diggy Dex,Treur Niet (Ode Aan Het Leven),2016-09-23 00:00:00,58,Gold
Chris Young,Losing Sleep,2017-10-20 00:00:00,58,Gold
Teddy Swims,What's Going On,2020-06-12 00:00:00,57,Gold
Hannah Mae,Back To You,2019-10-11 00:00:00,57,Gold
Justin Bieber,Children,2015-11-13 00:00:00,57,Gold
Sound Of Legend,Maniac,2022-01-21 00:00:00,57,Gold
GEE LEE,GO!,2022-04-15 00:00:00,56,Gold
Nick & Simon,Pak Maar M'n Hand,2007-11-29 00:00:00,55,Gold
Tim McGraw,Meanwhile Back At Mama's,2014-01-01 00:00:00,55,Gold
Outsiders,Kali - Outsiders Remix,2019-11-29 00:00:00,54,Gold
Dimitri Vangelis & Wyman,Safe,2021-10-01 00:00:00,54,Gold
Anouk,Girl,2004-10-25 00:00:00,54,Gold
Liberty X,Just A Little,2002-01-01 00:00:00,54,Gold
Beyoncé,Run the World (Girls),2011-01-01 00:00:00,53,Gold
Sigala,Radio,2023-03-02 00:00:00,53,Gold
Anouk,Michel,1999-01-01 00:00:00,53,Gold
Kensington,Do I Ever,2016-10-28 00:00:00,52,Gold
Billy Dans,Hazes,2022-01-21 00:00:00,52,Gold
Dean Lewis,The Hardest Love,2022-11-04 00:00:00,51,Gold
Sophie Ellis-Bextor,Murder On The Dancefloor - Extended Album Version,2001-01-01 00:00:00,51,Gold
D12,American Psycho,2001-01-01 00:00:00,50,Gold
Monique Smit,Een Zomeravond Met Jou,2013-06-07 00:00:00,50,Gold
A Touch Of Class,Around the World (La La La La La) - Radio Version,1990-01-01 00:00:00,49,Gold
Racoon,We Willen Meer Meneer,2021-10-01 00:00:00,49,Gold
OneRepublic,Sunshine,2023-02-15 00:00:00,49,Gold
Paul Sinha,Sexy,2023-04-21 00:00:00,48,Gold
Sticky Fingaz,What If I Was White,2000-01-01 00:00:00,48,Gold
Bente,Zeg Maar Niets Meer - Hazes Is De Basis,2022-03-19 00:00:00,48,Gold
Charlie Puth,Marvin Gaye (feat. Wale) - Remix,2015-11-05 00:00:00,48,Gold
Cover Drive,Sparks,2012-01-01 00:00:00,46,Gold
